Grower,Field ID,Sample ID,Date Recd,B Depth,E Depth,Soil Moisture %,% Sand,% Silt,% Clay,Texture,Organic Carbon %,Total Dry Weight,Bulk Density
YUROK TRIBE ,FRYER SITE 1 ,101,1/4/2024,0,3,33.8,,,,,,162.64,1.05
YUROK TRIBE ,FRYER SITE 1 ,102,1/4/2024,0,3,26.3,,,,,,173.03,1.12
YUROK TRIBE ,FRYER SITE 1 ,103,1/4/2024,0,3,33.6,,,,,,197.11,1.28
YUROK TRIBE ,FRYER SITE 1 ,104,1/4/2024,0,3,27.5,,,,,,179.49,1.16
YUROK TRIBE ,FRYER SITE 1 ,105,1/4/2024,0,3,46.1,,,,,,133.73,0.87
YUROK TRIBE ,FRYER SITE 2,201,1/4/2024,0,3,34.3,,,,,,238.3,1.54
YUROK TRIBE ,FRYER SITE 2,202,1/4/2024,0,3,14.3,,,,,,155.85,1.01
YUROK TRIBE ,FRYER SITE 2,203,1/4/2024,0,3,22.8,,,,,,175.24,1.13
YUROK TRIBE ,FRYER SITE 2,204,1/4/2024,0,3,29.9,,,,,,161.34,1.04
YUROK TRIBE ,FRYER SITE 2,205,1/4/2024,0,3,29.4,,,,,,205.4,1.33
YUROK TRIBE ,FRYER SITE 1,101,1/4/2024,4,20,,23,34,43,Clay,1.555,,
YUROK TRIBE ,FRYER SITE 1,101,1/4/2024,0,4,,53,20,27,Sandy Clay Loam,3.029,,
YUROK TRIBE ,FRYER SITE 1,102,1/4/2024,4,20,,39,28,33,Clay Loam,1.539,,
YUROK TRIBE ,FRYER SITE 1,102,1/4/2024,0,4,,55,22,23,Sandy Clay Loam,2.754,,
YUROK TRIBE ,FRYER SITE 1,103,1/4/2024,4,20,,19,30,51,Clay,1.281,,
YUROK TRIBE ,FRYER SITE 1,103,1/4/2024,0,4,,22,33,45,Clay,3.851,,
YUROK TRIBE ,FRYER SITE 1,104,1/4/2024,4,20,,25,32,43,Clay,2.177,,
YUROK TRIBE ,FRYER SITE 1,104,1/4/2024,0,4,,32,30,38,Clay Loam,3.316,,
YUROK TRIBE ,FRYER SITE 1,105,1/4/2024,4,20,,31,28,41,Clay,3.437,,
YUROK TRIBE ,FRYER SITE 1,105,1/4/2024,0,4,,30,28,42,Clay,6.52,,
YUROK TRIBE ,FRYER SITE 2,201,1/4/2024,4,20,,27,32,41,Clay,2.713,,
YUROK TRIBE ,FRYER SITE 2,201,1/4/2024,0,4,,38,24,38,Clay Loam,4.554,,
YUROK TRIBE ,FRYER SITE 2,202,1/4/2024,4,20,,39,26,35,Clay Loam,2.279,,
YUROK TRIBE ,FRYER SITE 2,202,1/4/2024,0,4,,44,22,34,Clay Loam,3.065,,
YUROK TRIBE ,FRYER SITE 2,203,1/4/2024,4,20,,31,30,39,Clay Loam,1.906,,
YUROK TRIBE ,FRYER SITE 2,203,1/4/2024,0,4,,35,27,38,Clay Loam,3.877,,
YUROK TRIBE ,FRYER SITE 2,204,1/4/2024,4,20,,35,26,39,Clay Loam,2.748,,
YUROK TRIBE ,FRYER SITE 2,204,1/4/2024,0,4,,38,16,46,Clay,4.935,,
YUROK TRIBE ,FRYER SITE 2,205,1/4/2024,4,20,,29,26,45,Clay,2.003,,
YUROK TRIBE ,FRYER SITE 2,205,1/4/2024,0,4,,29,30,41,Clay,2.334,,
